Product line,Quantity,Crude_oil_Price,Gold_Price,S&P_500_Price,Nasdaq_100_Price,Crude_oil_Price_lag1,Gold_Price_lag1,S&P_500_Price_lag1,Nasdaq_100_Price_lag1,Crude_oil_Price_mean_rolling,Gold_Price_mean_rolling,S&P_500_Price_mean_rolling,Nasdaq_100_Price_mean_rolling,Holiday_Indicator,var1,var2,var3,var4
0,4,53.9,1315.1,2753.03,7015.88,55.99,1317.78,2744.73,7014.67,55.572,1317.244,2739.404,6993.816000000001,0,7.181667987347919,3.9871304779149512,7.920457402286284,8.85593143014292
2,2,58.61,1295.1,2808.48,7243.01,58.26,1309.3,2810.92,7256.98,58.4,1303.62,2809.944,7251.392,0,9.166343191229542,6.070905330488338,9.940398690708037,10.887792144837752
1,1,59.03,1306.5,2832.57,7349.28,59.09,1301.5,2832.94,7326.28,59.148,1302.316,2821.4100000000003,7304.764,0,8.175107084960668,5.078045789252598,8.948939705747723,9.902357628224896
1,1,56.99,1292.95,2506.85,6902.13,56.99,1292.95,2506.85,6902.13,56.99,1292.95,2506.85,6902.13,0,8.164681708263917,5.0428758138469085,8.826782263899172,9.839585338600823
4,6,56.99,1292.95,2506.85,6902.13,56.99,1292.95,2506.85,6902.13,56.99,1292.95,2506.85,6902.13,0,11.164681708263917,8.042875813846909,11.826782263899172,12.839585338600823
2,6,56.99,1292.95,2506.85,6902.13,56.99,1292.95,2506.85,6902.13,56.99,1292.95,2506.85,6902.13,0,9.164681708263917,6.0428758138469085,9.826782263899172,10.839585338600823
0,7,55.99,1317.78,2724.87,6959.96,55.99,1317.78,5132.08,7031.04,55.99,1317.78,4169.196,7002.608,0,7.183703781554716,4.025173103360802,7.910175999537339,8.847929006185513
2,4,59.265,1301.04,2792.81,7150.83,59.265,1301.04,2792.81,7150.83,59.265,1301.04,2792.81,7150.83,0,9.170919223620192,6.082018912531463,9.934803536420336,10.87498371286692
3,5,55.99,1317.78,2731.61,6997.62,55.99,1317.78,2737.7,7023.52,55.99,1317.78,2736.482,7018.339999999999,0,10.183703781554716,7.025173103360802,10.912646457938338,11.853325370224344
2,2,56.99,1292.95,2506.85,6902.13,56.99,1292.95,2506.85,6902.13,56.99,1292.95,2506.85,6902.13,0,9.164681708263917,6.0428758138469085,9.826782263899172,10.839585338600823
3,4,56.99,1292.95,2506.85,6902.13,56.99,1292.95,2506.85,6902.13,56.99,1292.95,2506.85,6902.13,0,10.164681708263917,7.0428758138469085,10.826782263899172,11.839585338600823
2,5,59.265,1301.04,2804.3,7260.99,59.265,1301.04,2804.3,7260.99,59.265,1301.04,2804.3,7260.99,0,9.170919223620192,6.082018912531463,9.938909232445724,10.89027146215853
1,5,56.99,1292.95,2506.85,6902.13,56.99,1292.95,2506.85,6902.13,56.99,1292.95,2506.85,6902.13,0,8.164681708263917,5.0428758138469085,8.826782263899172,9.839585338600823
2,9,56.99,1292.95,2506.85,6902.13,56.99,1292.95,2506.85,6902.13,56.99,1292.95,2506.85,6902.13,0,9.164681708263917,6.0428758138469085,9.826782263899172,10.839585338600823
1,7,55.99,1317.78,5132.08,7031.04,55.99,1317.78,5132.08,7031.04,55.99,1317.78,5132.08,7031.04,0,8.183703781554716,5.025173103360802,9.543266314078563,9.858089911274146
1,1,55.99,1317.78,2707.88,6913.13,55.99,1317.78,2706.05,6904.98,55.99,1317.78,2706.782,6908.24,0,8.183703781554716,5.025173103360802,8.903921319904075,9.841177780918168
0,7,59.3,1295.3,2815.44,7320.47,59.41,1310.4,2805.37,7308.19,59.366,1304.36,2809.398,7313.102000000001,0,7.16649760753621,4.08260930600368,7.942873833865574,8.898429812544407
0,7,58.82,1322.6,2798.36,7316.96,58.82,1322.6,2798.36,7316.96,58.998000000000005,1313.976,2800.736,7294.572,0,7.1873547752405615,4.074481933125849,7.93678881027996,8.897950220147754
4,8,59.04,1312.3,2800.71,7326.06,59.04,1312.3,2800.71,7326.06,59.04,1312.3,2800.71,7326.06,0,11.17953660190224,8.078215180292217,11.937628235448068,12.899193133313412
5,5,55.99,1317.78,2724.87,6959.96,55.99,1317.78,5132.08,7031.04,55.99,1317.78,4650.638,7016.8240000000005,0,12.183703781554716,9.025173103360803,12.91017599953734,13.847929006185511
5,7,59.265,1301.04,2792.81,7150.83,59.265,1301.04,2804.3,7260.99,59.265,1301.04,2799.704,7216.925999999999,0,12.170919223620192,9.082018912531463,12.934803536420336,13.87498371286692
5,10,55.99,1317.78,5132.08,7031.04,55.99,1317.78,2707.88,6913.13,55.99,1317.78,3677.56,6960.294,0,12.183703781554716,9.025173103360803,13.543266314078563,13.858089911274146
4,7,59.265,1301.04,2804.3,7260.99,59.265,1301.04,2804.3,7260.99,59.265,1301.04,2804.3,7260.99,0,11.170919223620192,8.082018912531463,11.938909232445724,12.89027146215853
5,1,56.99,1292.95,2506.85,6902.13,56.99,1292.95,2506.85,6902.13,56.99,1292.95,2506.85,6902.13,0,12.164681708263917,9.042875813846909,12.826782263899172,13.839585338600823
2,4,59.265,1301.04,2804.3,7260.99,59.265,1301.04,2803.69,7151.57,58.856,1304.052,2799.972,7162.644,0,9.170919223620192,6.082018912531463,9.938909232445724,10.89027146215853
2,9,55.99,1317.78,5132.08,7031.04,55.99,1317.78,2707.88,6913.13,55.99,1317.78,3192.3540000000003,6935.082,0,9.183703781554716,6.025173103360802,10.543266314078563,10.858089911274146
3,5,59.265,1301.04,2792.81,7150.83,59.265,1301.04,2792.81,7150.83,59.265,1301.04,2792.81,7150.83,0,10.170919223620192,7.082018912531463,10.934803536420336,11.87498371286692
